Filename	LLM_EP0902
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	14/04/2025
Sample name	LLM_EP0902
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
1.51	38.19	-0.093
1.51	38.21	-0.093
1.51	38.23	-0.093
1.51	38.24	-0.093
1.51	38.26	-0.093
1.51	38.28	-0.093
1.52	38.29	-0.093
1.52	38.31	-0.093
1.52	38.33	-0.093
1.52	38.35	-0.093
1.52	38.36	-0.094
1.52	38.38	-0.094
1.53	38.39	-0.094
1.53	38.41	-0.094
1.53	38.43	-0.094
1.53	38.45	-0.094
1.53	38.46	-0.094
1.53	38.48	-0.094
1.53	38.50	-0.094
1.54	38.51	-0.094
1.54	38.53	-0.094
1.54	38.54	-0.094
1.54	38.56	-0.094
1.54	38.58	-0.094
1.54	38.59	-0.094
1.55	38.61	-0.094
1.55	38.63	-0.094
1.55	38.65	-0.094
1.55	38.66	-0.094
1.55	38.68	-0.094
1.56	38.69	-0.094
1.56	38.71	-0.094
1.56	38.73	-0.094
1.56	38.74	-0.094
1.56	38.76	-0.094
1.56	38.78	-0.094
1.57	38.79	-0.094
1.57	38.81	-0.094
1.57	38.83	-0.094
1.57	38.84	-0.094
1.57	38.86	-0.094
1.57	38.88	-0.094
1.58	38.90	-0.094
1.58	38.91	-0.094
1.58	38.93	-0.094
1.58	38.95	-0.094
1.58	38.96	-0.094
1.58	38.98	-0.094
