Filename	LLM_EP10_Cur
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	15/05/2025
Sample name	LLM_EP10_Cur
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.84	31.72	-0.156
0.84	31.74	-0.156
0.84	31.75	-0.156
0.84	31.77	-0.156
0.84	31.79	-0.156
0.85	31.80	-0.156
0.85	31.82	-0.156
0.85	31.84	-0.156
0.85	31.85	-0.156
0.85	31.87	-0.156
0.85	31.89	-0.156
0.85	31.90	-0.156
0.86	31.92	-0.156
0.86	31.93	-0.156
0.86	31.95	-0.156
0.86	31.97	-0.156
0.86	31.98	-0.155
0.87	32.00	-0.155
0.87	32.02	-0.155
0.87	32.04	-0.155
0.87	32.05	-0.155
0.87	32.07	-0.155
0.87	32.08	-0.155
0.88	32.10	-0.155
0.88	32.12	-0.155
0.88	32.13	-0.155
0.88	32.15	-0.155
0.88	32.17	-0.155
0.88	32.18	-0.155
0.88	32.20	-0.155
0.89	32.22	-0.155
0.89	32.23	-0.155
0.89	32.25	-0.155
0.89	32.27	-0.155
0.89	32.28	-0.155
0.90	32.30	-0.155
0.90	32.32	-0.155
0.90	32.33	-0.154
0.90	32.35	-0.154
0.90	32.37	-0.154
0.90	32.38	-0.154
0.90	32.40	-0.154
0.91	32.42	-0.154
0.91	32.43	-0.154
0.91	32.45	-0.154
0.91	32.47	-0.154
0.91	32.48	-0.154
0.92	32.50	-0.154
0.92	32.52	-0.154
0.92	32.53	-0.154
0.92	32.55	-0.154
0.92	32.56	-0.154
0.92	32.58	-0.154
0.93	32.60	-0.154
0.93	32.62	-0.154
0.93	32.63	-0.154
0.93	32.65	-0.153
0.93	32.67	-0.153
0.93	32.68	-0.153
0.93	32.70	-0.153
0.94	32.72	-0.153
0.94	32.73	-0.153
0.94	32.75	-0.153
0.94	32.76	-0.153
0.94	32.78	-0.153
0.95	32.80	-0.153
0.95	32.81	-0.153
0.95	32.83	-0.153
0.95	32.85	-0.153
0.95	32.86	-0.153
0.95	32.88	-0.153
0.95	32.90	-0.153
0.96	32.91	-0.153
0.96	32.93	-0.153
